name,price,image,Description for the website,Sales Description,Is published,Extra Product Media/Name,Extra Product Media/Image,Product Attributes/Attribute,Product Attributes/values
LDLC Aurore J1K-16-S4,10609.47,https://media.ldlc.com/r374/ld/products/00/05/91/62/LD0005916284_1_0005916311.jpg,"<div class=""tab-pane active"" data-tracking-action=""click"" data-tracking-category=""Onglets fiche produit"" data-tracking-event=""click"" data-tracking-label=""Descriptif"" id=""descriptif"" role=""tabpanel"">

<div class=""tab-pane-content"">
<div class=""logo"">
<a href=""/ldlc/bint000000888/"" rel=""nofollow"">
<img alt=""LDLC"" loading=""lazy"" src=""https://media.ldlc.com/v3/marque/bo/00/02/91/96/V30002919683_2.gif""/>
</a>
</div>
<div class=""brand-logo"">LDLC</div>
<div class=""description"" id=""description"">
<div class=""details-pdt-desc"">
<h2 class=""h2-master"">Puissance et ultra mobilité</h2>
<section>
<p>Le <strong>PC portable LDLC Aurore J1K-16-S4</strong> est idéal pour les utilisateurs, professionnels ou particuliers, à la recherche d'une machine facile à transporter, bénéficiant d'une haute autonomie et suffisamment puissante pour s’acquitter de toutes les tâches informatiques. Il intègre un <strong>puissant processeur Intel Core i5</strong>, de la <strong>RAM DDR4 </strong>véloce et un<strong> SSD ultra-rapide</strong>. Son <strong>écran mat Full HD 1080p de 14""</strong> est un atout supplémentaire pour le confort d'utilisation comme pour la <strong>mobilité</strong>.</p>
</section>
<section>
<div class=""desc-image""><span><img alt="""" loading=""lazy"" src=""https://media.ldlc.com/bo/images/fiches/pc_portables/ldlc/ldlc_aurore_j1k_003.jpg""/></span></div>
<div class=""desc-text"">
<h2>De la puissance à revendre</h2>
<p>L'<strong>ordinateur portable LDLC Aurore J1K </strong>embarque un <strong>puissant processeur Intel Core i5 à 4 coeurs et 8 Threads</strong> idéal pour le multitâche et les applications lourdes. Grâce à la<strong> puce graphique Intel Iris Xe</strong>, le processeur Intel Core i5 excelle dans de nombreux domaines : Jeux vidéo en 1080p, expérience cinéma avancée 8K ou 4K HDR (avec un écran externe), montages vidéo complexes avec des vitesses d'encodage impressionnantes. La partie mémoire vive est confiée à de la <strong>DDR4 </strong>véloce tandis que le stockage est assuré par un <strong>disque SSD M.2</strong> ultra-rapide.</p>
</div>
</section>
<section>
<div class=""desc-text"">
<h2>Châssis compact et robuste</h2>
<p>Le <strong>LDLC Aurore J1K</strong> est facile à transporter. Son <strong>châssis de 14 pouces</strong>, son <strong>poids plume</strong> (moins de 1 kg) et son <strong>autonomie de 10 heures</strong> (selon les usages) vous permettent de l'emmener partout et de l'utiliser longuement sans avoir besoin de le brancher sur secteur. Sa <strong>conception résistante </strong>est un atout supplémentaire pour la mobilité. <strong>Robuste et fiable</strong>, cet ultra-portable de 14"" bénéficie d'une qualité de fabrication remarquable certifiée par la <strong>norme MIL-STD 810G</strong>.</p>
</div>
<div class=""desc-image""><span><img alt="""" loading=""lazy"" src=""https://media.ldlc.com/bo/images/fiches/pc_portables/ldlc/ldlc_aurore_j1k_002.jpg""/></span></div>
</section>
<section class=""list"">
<h2>Caractéristiques principales :</h2>
<ul>
<li><strong>Processeur Intel i5-1135G7</strong> (Quad-Core 2.4 GHz / 4.2 GHz Turbo - 8 Threads - Cache 8 Mo)</li>
<li>16 Go de mémoire vive DDR4 (8 Go soudés + 1x 8 Go - pas d'upgrade possible)</li>
<li><strong>SSD M.2 SATA 6 Gb/s de 480 Go</strong></li>
<li><strong>Ecran mat de 14""</strong> avec résolution <strong>Full HD</strong> (1920 x 1080 pixels)</li>
<li>Communication sans fil Wi-Fi AX + Bluetooth </li>
<li><strong>Port Thunderbolt 4</strong></li>
<li>Sortie vidéo <strong>HDMI</strong></li>
<li>Haut-parleurs intégrés </li>
<li>Webcam HD </li>
<li>Lecteur MicroSD/SDHC/SDXC</li>
<li>Châssis certifié MIL-STD 810G et charnière rotative 180°</li>
<li>Jusqu'à 10 heures d'autonomie (selon l'utilisation)</li>
<li>Adaptateur secteur 65 Watts</li>
<li><strong>Aucun système d'exploitation fourni</strong></li>
</ul>
</section>
</div>
<div class=""emphasis"">
<p>Cet ordinateur portable est fourni <em>sans système d'exploitation</em>, pour vous laisser la possibilité d'installer un système d'exploitation compatible (déjà en votre possession ou acheté séparément). L'installation de Windows 10 64 bits est conseillée, pour vous permettre d'exploiter correctement toutes les possibilités offertes par ce PC portable. <em>L'installation de Windows 7/8/8.1 n'est pas possible sur ce modèle.</em></p>
</div>
</div>
<div class=""info-warning"" id=""technical-alert"">
<span class=""icon icon-info""></span>
<span class=""text"">
<strong>Informations fournies par notre service technique</strong>
                    Chaque machine est assemblée et testée par nos soins après enregistrement de la commande. Cette opération nécessite un délai supplémentaire précisé en haut de la fiche produit, sous la disponibilité, qui s'ajoute au délai d'expédition.
               </span>
</div>
</div>
</div>","Le PC portable LDLC Aurore J1K-16-S4 est idéal pour les utilisateurs, professionnels ou particuliers, à la recherche d'une machine facile à transporter, bénéficiant d'une haute autonomie et suffisamment puissante pour s'acquitter de toutes les tâches informatiques.",True,LD0005916285_1_0005916312,https://media.ldlc.com/r1600/ld/products/00/05/91/62/LD0005916285_1_0005916312.jpg,Désignation,LDLC Aurore J1K-16-S4
,,,,,,LD0005916285_1_0005916312,https://media.ldlc.com/r1600/ld/products/00/05/91/62/LD0005916285_1_0005916312.jpg,Marque,LDLC
,,,,,,LD0005916286_1_0005916313,https://media.ldlc.com/r1600/ld/products/00/05/91/62/LD0005916286_1_0005916313.jpg,Modèle,J1K-16-S4
,,,,,,LD0005916287_1_0005916314,https://media.ldlc.com/r1600/ld/products/00/05/91/62/LD0005916287_1_0005916314.jpg,Système d'exploitation,Sans OS
,,,,,,LD0005916288_1_0005916315,https://media.ldlc.com/r1600/ld/products/00/05/91/62/LD0005916288_1_0005916315.jpg,Famille OS,Sans OS
,,,,,,,,Langue de l'OS,N/A
,,,,,,,,Système d'exploitation fourni,Non
,,,,,,,,Marque processeur,Intel
,,,,,,,,Processeur,Intel Core i5
,,,,,,,,Plateforme (Proc.),Intel Tiger Lake
